row,wavelength,n_real,n_imag,aa,bb
1,0.532,1.3,0.0,1,0.01
2,0.532,1.3,0.0,1,0.02
3,0.532,1.3,0.0,1,0.03
4,0.532,1.3,0.0,1,0.04
5,0.532,1.3,0.0,1,0.05
6,0.532,1.3,0.0,1,0.06
7,0.532,1.3,0.0,1,0.07
8,0.532,1.3,0.0,1,0.08
9,0.532,1.3,0.0,1,0.09
10,0.532,1.3,0.0,1,0.1
11,0.532,1.3,0.0,1,0.11
12,0.532,1.3,0.0,1,0.12
13,0.532,1.3,0.0,1,0.13
14,0.532,1.3,0.0,1,0.14
15,0.532,1.3,0.0,1,0.15
16,0.532,1.3,0.0,1,0.16
17,0.532,1.3,0.0,1,0.17
18,0.532,1.3,0.0,1,0.18
19,0.532,1.3,0.0,1,0.19
20,0.532,1.3,0.0,1,0.2
21,0.532,1.3,0.0,1,0.21
22,0.532,1.3,0.0,1,0.22
23,0.532,1.3,0.0,1,0.23
24,0.532,1.3,0.0,1,0.24
25,0.532,1.3,0.0,1,0.25
26,0.532,1.3,0.0,1,0.26
27,0.532,1.3,0.0,1,0.27
28,0.532,1.3,0.0,1,0.28
29,0.532,1.3,0.0,1,0.29
30,0.532,1.3,0.0,1,0.3
31,0.532,1.3,0.0,1,0.31
32,0.532,1.3,0.0,1,0.32
33,0.532,1.3,0.0,1,0.33
34,0.532,1.3,0.0,1,0.34
35,0.532,1.3,0.0,1,0.35
36,0.532,1.3,0.0,1,0.36
37,0.532,1.3,0.0,1,0.37
38,0.532,1.3,0.0,1,0.38
39,0.532,1.3,0.0,1,0.39
40,0.532,1.3,0.0,1,0.4
41,0.532,1.3,0.0,1,0.41
42,0.532,1.3,0.0,1,0.42
43,0.532,1.3,0.0,1,0.43
44,0.532,1.3,0.0,1,0.44
45,0.532,1.3,0.0,1,0.45
46,0.532,1.3,0.0,1,0.46
47,0.532,1.3,0.0,1,0.47
48,0.532,1.3,0.0,1,0.48
49,0.532,1.3,0.0,1,0.49
50,0.532,1.3,0.0,2,0.01
51,0.532,1.3,0.0,2,0.02
52,0.532,1.3,0.0,2,0.03
53,0.532,1.3,0.0,2,0.04
54,0.532,1.3,0.0,2,0.05
55,0.532,1.3,0.0,2,0.06
56,0.532,1.3,0.0,2,0.07
57,0.532,1.3,0.0,2,0.08
58,0.532,1.3,0.0,2,0.09
59,0.532,1.3,0.0,2,0.1
60,0.532,1.3,0.0,2,0.11
61,0.532,1.3,0.0,2,0.12
62,0.532,1.3,0.0,2,0.13
63,0.532,1.3,0.0,2,0.14
64,0.532,1.3,0.0,2,0.15
65,0.532,1.3,0.0,2,0.16
66,0.532,1.3,0.0,2,0.17
67,0.532,1.3,0.0,2,0.18
68,0.532,1.3,0.0,2,0.19
69,0.532,1.3,0.0,2,0.2
70,0.532,1.3,0.0,2,0.21
71,0.532,1.3,0.0,2,0.22
72,0.532,1.3,0.0,2,0.23
73,0.532,1.3,0.0,2,0.24
74,0.532,1.3,0.0,2,0.25
75,0.532,1.3,0.0,2,0.26
76,0.532,1.3,0.0,2,0.27
77,0.532,1.3,0.0,2,0.28
78,0.532,1.3,0.0,2,0.29
79,0.532,1.3,0.0,2,0.3
80,0.532,1.3,0.0,2,0.31
81,0.532,1.3,0.0,2,0.32
82,0.532,1.3,0.0,2,0.33
83,0.532,1.3,0.0,2,0.34
84,0.532,1.3,0.0,2,0.35
85,0.532,1.3,0.0,2,0.36
86,0.532,1.3,0.0,2,0.37
87,0.532,1.3,0.0,2,0.38
88,0.532,1.3,0.0,2,0.39
89,0.532,1.3,0.0,2,0.4
90,0.532,1.3,0.0,2,0.41
91,0.532,1.3,0.0,2,0.42
92,0.532,1.3,0.0,2,0.43
93,0.532,1.3,0.0,2,0.44
94,0.532,1.3,0.0,2,0.45
95,0.532,1.3,0.0,2,0.46
96,0.532,1.3,0.0,2,0.47
97,0.532,1.3,0.0,2,0.48
98,0.532,1.3,0.0,2,0.49
99,0.532,1.3,0.0,3,0.01
100,0.532,1.3,0.0,3,0.02
